City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
458,aklavik,68.2191,-135.0107,-21.16,88,6,4.3,CA,1678057556
459,moreira sales,-24.0622,-53.0069,21.73,87,4,1.89,BR,1678057557
460,camacupa,-12.0167,17.4833,16.81,91,98,1.65,AO,1678057557
461,torit,4.4133,32.5678,28.66,31,58,2.01,SS,1678057557
462,ambilobe,-13.2,49.05,23.49,96,80,1.14,MG,1678057558
463,roma,43.2128,-75.4557,3.23,91,100,3.09,US,1678057299
464,bahia honda,22.9036,-83.1592,27.06,64,17,4.99,CU,1678057558
465,bose,45.4612,8.0137,7.09,83,14,1.32,IT,1678057559
466,nanjing,32.0617,118.7778,4.95,53,0,2.11,CN,1678057540
467,sembakung,3.8167,117.25,22.95,95,100,0.27,ID,1678057560
468,grandview,38.8858,-94.533,22.36,47,0,11.83,US,1678057500
469,mackay,-21.15,149.2,28.16,70,85,5.64,AU,1678057560
470,thinadhoo,0.5333,72.9333,27.02,75,88,2.53,MV,1678057560
471,bonanza,14.0289,-84.591,26.55,62,36,2.06,NI,1678057561
472,olovyannaya,50.95,115.5667,-15.38,82,3,1.99,RU,1678057561
473,pilar,-9.5972,-35.9567,24.96,74,78,3.39,BR,1678057562
474,kroonstad,-27.6504,27.2349,16.74,84,58,1.79,ZA,1678057562
475,nabire,-3.3667,135.4833,23.46,96,100,1.73,ID,1678057563
476,manaure,11.7751,-72.4445,26.64,73,93,10.99,CO,1678057564
477,clyde river,70.4692,-68.5914,-16.87,85,0,4.63,CA,1678057564
478,bayangol,50.6977,103.4656,-15.37,95,58,1.04,RU,1678057564
479,san jeronimo,-11.9472,-75.2829,13.11,79,100,1.97,PE,1678057565
480,odweyne,9.4092,45.064,19.37,45,2,2.57,SO,1678057565
481,avera,33.194,-82.5271,21.73,52,0,2.08,US,1678057565
482,tomatlan,19.9333,-105.25,29.59,37,1,4.62,MX,1678057566
483,iskateley,67.6803,53.1512,-18.28,99,100,3.32,RU,1678057566
484,bara,10.3744,10.7288,30.16,20,91,3.54,NG,1678057567
485,fez,34.0372,-4.9998,11.14,100,40,2.06,MA,1678057567
486,buraydah,26.326,43.975,24.25,21,51,5.36,SA,1678057568
487,ledyard,41.4398,-72.0142,7.93,59,0,5.66,US,1678057568
488,anadyr,64.75,177.4833,-25.56,75,20,7.0,RU,1678057568
489,beyneu,45.3167,55.2,6.4,72,94,5.42,KZ,1678057569
490,gisborne,-38.6533,178.0042,16.92,77,89,5.95,NZ,1678057569
491,oranjestad,12.524,-70.027,26.97,74,40,10.8,AW,1678057394
492,zhuhai,22.2769,113.5678,18.25,72,20,4.63,CN,1678057570
493,kandrian,-6.2167,149.55,27.13,81,99,1.24,PG,1678057570
494,poum,-20.2333,164.0167,26.32,77,32,3.28,NC,1678057571
495,sobolevo,54.4299,31.8996,-6.64,90,98,3.83,RU,1678057571
496,kaiyuan,23.6977,103.3037,12.63,87,33,2.21,CN,1678057572
497,conde,-7.2597,-34.9075,27.7,74,20,3.09,BR,1678057572
498,bilibino,68.0546,166.4372,-29.3,99,99,0.23,RU,1678057573
499,olden,61.8364,6.8064,-2.59,97,98,0.56,NO,1678057574
500,filimonovo,56.2011,95.4611,-9.37,95,100,1.91,RU,1678057574
501,vasterhaninge,59.1167,18.1,-3.98,87,70,4.92,SE,1678057575
502,naze,28.3667,129.4833,12.51,62,47,4.76,JP,1678057575
503,maniitsoq,65.4167,-52.9,-0.38,65,70,3.78,GL,1678057575
504,uba,-21.12,-42.9428,23.07,86,76,2.28,BR,1678057576
505,haines junction,60.7522,-137.5108,-15.03,47,87,0.0,CA,1678057576
506,nangong,37.3581,115.3744,9.77,30,36,1.79,CN,1678057577
507,ust-nera,64.5667,143.2,-28.65,98,97,1.34,RU,1678057577
508,kaupanger,61.1845,7.2404,-2.73,73,75,0.0,NO,1678057578
509,bo rai,12.5728,102.5371,22.63,75,9,1.47,TH,1678057578
510,nerchinskiy zavod,51.3088,119.61,-21.52,94,16,1.11,RU,1678057578
511,manta,-0.95,-80.7333,27.88,78,75,3.09,EC,1678057579
512,new milford,40.9327,-74.0179,9.93,54,100,4.63,US,1678057579
513,eureka,40.8021,-124.1637,9.66,66,94,3.58,US,1678057580
514,tilichiki,60.4667,166.1,-23.27,91,98,2.1,RU,1678057580
515,buala,-8.145,159.5921,26.93,77,100,3.52,SB,1678057581
516,natal,-5.795,-35.2094,26.36,78,20,3.6,BR,1678056816
517,bontang,0.1333,117.5,24.61,82,100,1.27,ID,1678057581
518,aburi,5.8472,-0.1775,25.84,74,61,3.96,GH,1678057582
519,douglas,41.3,-96.167,18.9,60,75,5.14,US,1678057582
520,mmabatho,-25.85,25.6333,18.27,74,45,1.06,ZA,1678057583
521,shakopee,44.798,-93.5269,4.38,63,100,5.14,US,1678057583
522,dedovichi,57.5517,29.9502,-5.08,98,100,1.55,RU,1678057584
523,yilan,24.757,121.753,16.12,99,0,1.78,TW,1678057584
524,caceres,39.522,-6.3748,7.31,98,99,0.89,ES,1678057584
525,yokadouma,3.5167,15.05,25.83,43,83,0.87,CM,1678057585
526,vieste,41.8825,16.175,10.39,66,10,2.07,IT,1678057585
527,biltine,14.5333,20.9167,25.69,9,0,4.49,TD,1678057586
528,talcher,20.95,85.2167,19.67,30,0,1.23,IN,1678057586
529,namatanai,-3.6667,152.4333,28.51,72,87,3.29,PG,1678057587
530,vestmannaeyjar,63.4427,-20.2734,0.38,84,100,4.63,IS,1678057587
531,lalmohan,22.3384,90.7419,23.0,49,0,2.49,BD,1678057588
532,atbasar,51.8,68.3333,-5.89,94,85,7.25,KZ,1678057588
533,kholmogory,64.2229,41.656,-18.28,99,93,1.03,RU,1678057589
534,bestobe,52.4994,73.0975,-1.91,83,81,7.14,KZ,1678057589
535,aldergrove,49.058,-122.4709,10.42,54,75,4.63,CA,1678057589
536,boende,-0.2167,20.8667,26.94,57,90,1.67,CD,1678057590
537,aquiraz,-3.9014,-38.3911,28.05,85,98,4.74,BR,1678057372
538,beringovskiy,63.05,179.3167,-21.37,87,76,0.6,RU,1678057590
539,kenai,60.5544,-151.2583,-1.95,45,0,4.63,US,1678057591
540,maues,-3.3836,-57.7186,24.18,97,100,1.26,BR,1678057592
541,hofn,64.2539,-15.2082,-3.43,64,3,8.82,IS,1678057394
542,iona,26.5204,-81.964,28.03,67,0,5.14,US,1678057592
543,lata,40.1629,-8.3327,12.12,97,51,2.01,PT,1678057593
544,nijar,36.9665,-2.206,11.8,62,0,2.57,ES,1678057594
545,moncton,46.1159,-64.8019,2.4,32,20,6.69,CA,1678057548
546,shirokiy,49.758,129.523,-7.82,97,50,3.08,RU,1678057594
547,palana,59.1167,159.9667,-8.53,94,100,2.67,RU,1678057595
548,kruisfontein,-34.0033,24.7314,17.55,85,4,8.74,ZA,1678057595
549,koungou,-12.7336,45.2042,28.84,79,40,4.63,YT,1678057596
550,maarianhamina,60.0973,19.9348,-1.21,93,100,2.06,AX,1678057596
551,zonguldak,41.25,31.8333,5.43,97,100,2.54,TR,1678057597
552,vila,42.0304,-8.1588,3.72,84,100,1.29,PT,1678057598
553,constantine,36.365,6.6147,6.67,52,0,2.06,DZ,1678057480
554,zyryanka,65.75,150.85,-32.09,93,80,2.4,RU,1678057598
555,acarau,-2.8856,-40.12,26.75,81,94,7.0,BR,1678057599
556,wana,32.2989,69.5725,12.58,53,7,1.37,PK,1678057599
557,reyes,-14.3167,-67.3833,24.38,97,90,0.28,BO,1678057600
558,kichmengskiy gorodok,59.9816,45.7854,-18.53,100,95,1.66,RU,1678057601
559,leon,21.1167,-101.6667,30.03,50,94,1.55,MX,1678057559
